,Year,month,Anomoly_Celcius,Date,Month_Number,color_scale
0,1880,Jan,-0.19,1880-01-01,1,0
1,1880,Feb,-0.25,1880-02-01,2,0
2,1880,Mar,-0.09,1880-03-01,3,0
3,1880,Apr,-0.16,1880-04-01,4,0
4,1880,May,-0.1,1880-05-01,5,0
5,1880,Jun,-0.21,1880-06-01,6,0
6,1880,Jul,-0.18,1880-07-01,7,0
7,1880,Aug,-0.1,1880-08-01,8,0
8,1880,Sep,-0.14,1880-09-01,9,0
9,1880,Oct,-0.23,1880-10-01,10,0
10,1880,Nov,-0.21,1880-11-01,11,0
11,1880,Dec,-0.18,1880-12-01,12,0
12,1881,Jan,-0.2,1881-01-01,1,1
13,1881,Feb,-0.14,1881-02-01,2,1
14,1881,Mar,0.03,1881-03-01,3,1
15,1881,Apr,0.05,1881-04-01,4,1
16,1881,May,0.06,1881-05-01,5,1
17,1881,Jun,-0.19,1881-06-01,6,1
18,1881,Jul,0.0,1881-07-01,7,1
19,1881,Aug,-0.04,1881-08-01,8,1
20,1881,Sep,-0.16,1881-09-01,9,1
21,1881,Oct,-0.22,1881-10-01,10,1
22,1881,Nov,-0.19,1881-11-01,11,1
23,1881,Dec,-0.07,1881-12-01,12,1
24,1882,Jan,0.16,1882-01-01,1,2
25,1882,Feb,0.14,1882-02-01,2,2
26,1882,Mar,0.04,1882-03-01,3,2
27,1882,Apr,-0.17,1882-04-01,4,2
28,1882,May,-0.15,1882-05-01,5,2
29,1882,Jun,-0.23,1882-06-01,6,2
30,1882,Jul,-0.16,1882-07-01,7,2
31,1882,Aug,-0.07,1882-08-01,8,2
32,1882,Sep,-0.14,1882-09-01,9,2
33,1882,Oct,-0.24,1882-10-01,10,2
34,1882,Nov,-0.17,1882-11-01,11,2
35,1882,Dec,-0.36,1882-12-01,12,2
36,1883,Jan,-0.29,1883-01-01,1,3
37,1883,Feb,-0.36,1883-02-01,2,3
38,1883,Mar,-0.13,1883-03-01,3,3
39,1883,Apr,-0.18,1883-04-01,4,3
40,1883,May,-0.18,1883-05-01,5,3
41,1883,Jun,-0.07,1883-06-01,6,3
42,1883,Jul,-0.08,1883-07-01,7,3
43,1883,Aug,-0.15,1883-08-01,8,3
44,1883,Sep,-0.22,1883-09-01,9,3
45,1883,Oct,-0.12,1883-10-01,10,3
46,1883,Nov,-0.24,1883-11-01,11,3
47,1883,Dec,-0.12,1883-12-01,12,3
48,1884,Jan,-0.13,1884-01-01,1,4
